ID	Q1	Q3	RT	DP	CE	Compound name	Classes	Identification	SMILES	InChI	Library ID	keggID	Molecular formula	Observed mass (Da)	Exact mass (Da)	Accurate mass error (ppm)	Ionization model	Precursor ions (Q1)	Product ions (Q3)	Q4	Q5	Q6	Q7	Q8
mr2156	664.1	136.1	4.1	60	50	Nicotinamide adenine dinucleotide	Nucleic acid derivative	putative	N=C(O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1	InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)	MS000009516	C00003	C21H27N7O14P2	663.43	663.1091	24.7	H+	664.1	136.1	524	428	232		
wm0019	99	63	7.9	10	50	Phosphoric acid	Other	putative	O=P(O)(O)O	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)	MS000008579	C00009	H3O4P	97.994	97.9769	161.8	H+	98.9847	63	81				
p0435	399.2	250.1	1.1	40	30	S-Adenosyl-methionine	Amino acid derivative	standard	C[S+](CCC(N)C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O	InChI=1S/C15H22N6O5S/c1-27(3-2-7(16)15(24)25)4-8-10(22)11(23)14(26-8)21-6-20-9-12(17)18-5-19-13(9)21/h5-8,10-11,14,22-23H,2-4,16H2,1H3,(H2-,17,18,19,24,25)	MS000007720	C00019	C15H22N6O5S	398.445	398.1372	139.5								
mr1331	148.1	84.1	1.3	20	50	Glutamic acid	Amino acid derivative	standard	NC(CCC(=O)O)C(=O)O	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)	MS000000402	C00025	C5H9NO4	147.13	147.0532	269	H+	148.0604	84.1	130.1	102.1	79.7		
n00354	565.048	403	6.5	-60	-30	Uridine 5'-diphosphogalactose	Nucleic acid derivative	putative	O=c1nc(O)ccn1C1OC(COP(=O)(O)OP(=O)(O)OC2OC(CO)C(O)C(O)C2O)C(O)C1O	InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)	MS000000892	C00029	C15H24N2O17P2	566.302	566.055	0.4	H-	565.0477	403	158.9	273	176.9	385	
Glucose	179	59	1.2	-50	-30	Glucose	Sugar	standard	OCC1OC(O)C(O)C(O)C1O	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2	MS000002002	C00031	C6H12O6	180.156	180.0634	311.8								
mr2001	76	58.7	0.8	30	10	Glycine	Amino acid derivative	standard	NCC(=O)O	InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)	MS000006656	C00037	C2H5NO2	75.067	75.032	523.1	H+	76.0393	58.7	54	61	51		
mr1319	90.1	44	1.2	30	60	Alanine	Amino acid derivative	standard	CC(N)C(=O)O	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)	MS000006911	C00041	C3H7NO2	89.094	89.0477	505.9	H+	90.055	44	70				
mr1330	147.1	84.2	1.1	40	10	Lysine	Amino acid derivative	putative	NCCCCC(N)C(=O)O	InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)	MS000000410	C00047	C6H14N2O2	146.19	146.1055	87.3	H+	147.1126	84.2	130.1				
mr1327	134	88.1	1.4	30	30	Aspartic acid	Amino acid derivative	standard	NC(CC(=O)O)C(=O)O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)	MS000000395	C00049	C4H7NO4	133.103	133.0375	336.4	H+	134.0446	88.1	116.1	74.1	70	68	
