ID	AK-FK-1	AK-FK-2	AK-FK-3	JD-FK-1	JD-FK-2	JD-FK-3	AK-MK-1	AK-MK-2	AK-MK-3	JD-MK-1	JD-MK-2	JD-MK-3	AK-GK-1	AK-GK-2	AK-GK-3	JD-GK-1	JD-GK-2	JD-GK-3
5OHIAA	309436.35	343305.16	238491.49	149572.43	195936.80	154563.32	716500.26	532855.47	319433.53	721669.07	184372.28	854531.44	830291.19	223057.60	255552.28	756756.26	495360.68	177034.92
ABA	985930.16	1161302.17	1441814.63	875675.38	1322696.66	1019177.31	75936.69	261223.65	149953.01	137499.51	83082.10	250298.02	76118.88	44481.36	39030.91	154452.29	43866.71	23027.43
ace-ser	95773.53	70390.63	79626.30	73425.86	104497.50	110885.38	161914.90	54299.75	38460.12	194372.78	50686.93	119580.97	127621.00	236052.62	113757.98	172141.18	151613.25	108839.17
Arabinose	79089.34	127133.89	95920.25	113308.42	185478.24	169508.83	80403.66	117472.28	107076.54	132576.47	148672.33	170557.11	95659.02	123898.57	118123.63	158810.67	114177.50	138622.67
cZ	868764.43	688315.89	305925.77	329090.82	213938.45	252685.25	50228.95	49244.63	26777.58	51303.66	32798.61	52076.87	31525.79	24675.54	19554.33	35347.51	29398.87	22087.19
DHJA	14488.64	17896.94	31510.82	24246.25	32177.30	23711.52	17865.61	58391.84	47575.94	44217.09	40272.62	93525.07	11409.02	12379.89	13494.73	20490.58	53501.53	29540.34
Fucose	321822.97	421547.45	273157.06	306586.20	389122.80	296915.67	213027.15	230484.76	230528.86	251261.32	204809.08	188230.47	291385.02	163934.24	185170.98	296318.69	145082.99	184011.77
GA1	105008.39	134174.30	162941.72	227416.26	279257.88	253642.44	15125.46	42543.81	35719.79	21226.80	20494.14	62966.26	13608.14	23877.85	21024.83	18992.56	13566.10	13048.89
GA12	402682.78	727804.40	61100.21	108398.11	131058.56	103652.93	577769.15	501238.31	600946.81	1100591.89	1120999.17	800302.45	725625.16	220080.58	454189.13	1516887.74	422032.87	460095.49
GA19	119958.34	176961.29	139168.19	11207.55	14284.15	13537.38	4787.31	3732.21	5279.47	3147.00	1351.47	4239.69	4414.99	7846.25	3652.62	11119.92	2870.46	3560.27
GA20	118975.05	62796.39	157355.39	12222.58	11684.83	9351.92	4846.62	6571.01	5797.51	9136.35	4685.72	7772.18	3287.13	9460.48	3873.50	3932.93	3810.64	3606.50
GA3	531514.80	687370.00	585948.33	77573.71	83930.38	75105.62	3815.74	7150.25	10611.83	5018.50	3030.99	12402.55	4924.94	2640.05	3698.59	2609.60	7177.36	3689.70
GA8	2814323.90	2773563.71	3188599.67	770532.83	679598.59	441337.47	17302.90	29161.26	33537.55	8291.17	7227.36	28963.89	21312.10	15959.51	12640.44	7144.14	13870.78	3332.06
Glucose	8409110.63	11319767.59	6029753.29	5851589.01	7166566.40	6999297.05	2967053.44	3507445.06	3943036.06	2867276.39	3245364.37	3094281.42	4120903.26	3308578.08	3860262.60	3811942.91	3730843.63	4396417.05
IAA	9204965.87	12677932.95	4255900.11	8492936.13	9974244.68	7204952.25	111528.11	74611.87	232569.90	256663.23	271106.08	60737.67	138931.12	39248.34	143886.56	345027.89	201241.69	241712.62
IAA-ALA	11349.43	10797.35	10324.31	6288.91	9435.96	11630.40	9602.53	4987.43	10137.26	9310.86	10882.55	11213.72	8243.33	12439.33	6565.03	9010.12	10810.22	10380.16
IAA-ASP	82879.57	117608.99	121473.55	96576.24	154641.43	164349.53	56447.14	207773.00	264549.62	160505.20	50984.84	37034.60	54345.22	27036.55	49427.99	204631.13	118428.56	63098.14
IAA-crA	57374.70	75024.45	51414.69	89719.90	88397.91	65350.31	14660.48	17145.69	19544.11	40074.27	17191.28	17742.67	42875.64	24893.29	29595.19	50631.68	57546.87	55892.57
IAA-Glc	113861.05	280329.97	63461.79	107790.79	62571.00	88421.61	204322.77	118123.24	161867.89	336022.45	282798.17	133799.43	214785.21	59592.62	221232.45	349432.35	377905.54	375702.48
IAA-Ile	7635.10	44821.50	25237.87	15465.13	9306.87	19072.62	19842.74	27799.42	36054.78	32447.05	15290.60	13431.48	34354.15	11198.95	29035.03	27440.68	27032.90	39133.50
IAA-Leu	10684.08	16360.07	18003.54	1766.42	16940.30	13934.34	13746.93	13498.99	18991.51	21913.41	12585.15	12286.52	10229.72	10790.19	20794.44	14955.51	15725.37	20142.82
IAA-Me	8584.91	46023.22	16741.15	24878.81	22680.09	36613.22	14355.28	9922.37	12616.51	22028.12	20520.15	9676.22	20058.57	16292.38	38190.76	19860.04	44729.15	54429.06
IAA-Phe	9630.74	21046.33	19107.39	7160.28	15204.85	17704.57	11675.75	6902.13	13657.77	15628.64	14010.76	12904.54	18702.82	10402.68	19894.19	17913.78	13081.32	23832.46
IAA-Trp	6402.49	16842.79	28203.66	20803.03	44656.75	38175.89	42062.84	19411.13	15906.81	31335.25	21170.28	39066.84	53685.71	76470.03	27768.20	45930.35	41272.58	33604.90
IAA-Val	45576.76	169695.51	21760.76	12198.58	17118.24	24428.71	16224.41	24127.86	13149.58	25557.02	16825.92	11662.09	12825.45	18744.64	18689.00	17061.85	21300.90	14689.65
JA	261783.80	561119.20	851450.30	1038170.22	1245474.17	1155353.50	76593.72	166844.21	142888.32	353882.14	405843.08	394952.69	87306.51	113683.29	100451.62	468155.89	343420.03	193291.22
JA-ILE	557567.09	659646.50	1593212.21	988230.23	1156014.69	1124725.88	29434.49	122408.10	102061.26	62188.67	79208.71	216195.03	36325.42	108008.30	65381.02	83557.01	77585.90	35080.21
mal-tyr	285055.75	161888.87	109869.08	302781.19	215909.14	117849.28	26081.65	29746.64	19062.41	36266.63	17868.58	18752.85	46200.25	38789.17	40166.16	43052.72	39020.14	25398.10
mr0120	35642933.66	21866716.54	16961402.25	16420282.59	8074670.10	8659613.13	3798315.90	3820863.96	4877852.91	2514130.95	3614030.75	2909960.51	5117388.91	1605429.54	1704363.85	4714418.56	1303045.35	1378633.39
mr0140	148740.41	110937.78	274638.16	136097.32	213842.98	257637.03	114043.65	149481.15	250323.02	135980.48	214595.24	226587.25	137164.05	78908.02	128122.50	262149.46	241251.00	121887.05
