reaction	reactant	product	type
R01942	C00323	C00406	kegg
R01945	C00323	C00852	kegg
R01945	C00296	C00852	kegg
R02416	C00223	C02947	kegg
R02416	C00493	C02947	kegg
R04342	C12208	C00852	kegg
R06582	C02947	C10434	kegg
R07432	C00223	C12208	kegg
R07432	C00296	C12208	kegg
R07433	C10434	C00323	kegg
R07433	C10434	C00493	kegg
R07436	C00223	C00323	kegg
R08815	C00540	C00223	kegg
R01614	C00223	C03582	kegg
R02505	C00540	C01745	kegg
R04257	C03582	C05901	kegg
R08796	C00223	C17744	kegg
R08796	C05270	C17744	kegg
R08797	C00406	C17746	kegg
R08797	C05270	C17746	kegg
R08798	C17744	C17747	kegg
R08799	C17745	C17748	kegg
R08800	C17746	C10462	kegg
R08801	C17744	C17745	kegg
R08802	C17747	C17748	kegg
R08803	C17745	C17746	kegg
R08804	C17748	C10462	kegg
R08805	C00223	C17740	kegg
R08806	C00406	C17741	kegg
R08807	C17740	C17743	kegg
R08807	C00223	C17743	kegg
R08808	C17740	C17742	kegg
R08808	C00406	C17742	kegg
R08809	C17741	C17742	kegg
R08809	C00223	C17742	kegg
R08810	C17741	C10443	kegg
R08810	C00406	C10443	kegg
R08811	C17743	C17742	kegg
R08812	C17742	C10443	kegg
R08813	C10443	C17749	kegg
R08814	C17749	C17750	kegg
R09872	C03582	C10287	kegg
R10233	C00223	C17743	kegg
2.3	C00296	mr2272	putative
2.1.1	C00852	mr2272	putative
2.3	C00296	S17-1871	putative
2.1.1	C00852	S17-1871	putative
2.3	C00296	mr1027	putative
2.3	C00493	mr1170	putative
