reaction	reactant	product	type
R00014	C00068	C05125	kegg
R00199	C00022	C00074	kegg
R00200	C00022	C00074	kegg
R00206	C00022	C00074	kegg
R00229	C00033	C00024	kegg
R00235	C00033	C00024	kegg
R00341	C00036	C00074	kegg
R00431	C00044	C00035	kegg
R00431	C00044	C00074	kegg
R00431	C00036	C00035	kegg
R00431	C00036	C00074	kegg
R00658	C00631	C00074	kegg
R00703	C00186	C00022	kegg
R00710	C00084	C00033	kegg
R00711	C00084	C00033	kegg
R00726	C00081	C00104	kegg
R00726	C00081	C00074	kegg
R00726	C00036	C00104	kegg
R00726	C00036	C00074	kegg
R00746	C00469	C00084	kegg
R00754	C00469	C00084	kegg
R00755	C00084	C05125	kegg
R00755	C00068	C05125	kegg
R01015	C00118	C00111	kegg
R01058	C00118	C00197	kegg
R01061	C00118	C00236	kegg
R01063	C00118	C00236	kegg
R01512	C00197	C00236	kegg
R01516	C01159	C00197	kegg
R01518	C00631	C00197	kegg
R01662	C00236	C01159	kegg
R03270	C05125	C00068	kegg
R04394	C01451	C06188	kegg
R05132	C06186	C06187	kegg
R05133	C06187	C00530	kegg
R05134	C06188	C02323	kegg
R05198	C00469	C00084	kegg
R07159	C00118	C00197	kegg
R09127	C00469	C00084	kegg
R09479	C00469	C00084	kegg
R09532	C01159	C00631	kegg
R10860	C00118	C00197	kegg
R00268	C05379	C00026	kegg
R00342	C00149	C00036	kegg
R00344	C00288	C00036	kegg
R00351	C00158	C00036	kegg
R00352	C00158	C00036	kegg
R00361	C00149	C00036	kegg
R00405	C00042	C00091	kegg
R00432	C00044	C00035	kegg
R00432	C00044	C00091	kegg
R00621	C00068	C05381	kegg
R00709	C00311	C00026	kegg
R00727	C00081	C00104	kegg
R00727	C00081	C00091	kegg
R01082	C00149	C00122	kegg
R01325	C00158	C00417	kegg
R01899	C00311	C05379	kegg
R01900	C00311	C00417	kegg
R03316	C05381	C00068	kegg
R10343	C00091	C00042	kegg
R00305	C00031	C00198	kegg
R01049	C00117	C00119	kegg
R01051	C00121	C00117	kegg
R01056	C00117	C00199	kegg
R01057	C00620	C00117	kegg
R01066	C00673	C00118	kegg
R01066	C00673	C00084	kegg
R01519	C00198	C00257	kegg
R01528	C00345	C00199	kegg
R01538	C00257	C00204	kegg
R01544	C03752	C00204	kegg
R01641	C05382	C00117	kegg
R01641	C00118	C00117	kegg
R01737	C00257	C00345	kegg
R01739	C00257	C06473	kegg
R01741	C00257	C06473	kegg
R01827	C05382	C00279	kegg
R01827	C00118	C00279	kegg
R01830	C00118	C00279	kegg
R02032	C00345	C01218	kegg
R02034	C00345	C01218	kegg
R02035	C01236	C00345	kegg
R02658	C06473	C01218	kegg
R02749	C00672	C00673	kegg
R02750	C00673	C01801	kegg
R05338	C00199	C06019	kegg
R06620	C00031	C00198	kegg
R06836	C01151	C00119	kegg
R06837	C00620	C01151	kegg
R07147	C00031	C00198	kegg
R08570	C00204	C00577	kegg
R08571	C00577	C00258	kegg
R08572	C00258	C00631	kegg
R10221	C00345	C00199	kegg
R10324	C00577	C00258	kegg
R10407	C03752	C20589	kegg
R10615	C00577	C00258	kegg
R00264	C00433	C00026	kegg
R00286	C00029	C00167	kegg
R00289	C00075	C00029	kegg
R01381	C00075	C00167	kegg
R01429	C00181	C02266	kegg
R01430	C00181	C02266	kegg
R01431	C00379	C00181	kegg
R01524	C01068	C00199	kegg
R01525	C01068	C00199	kegg
R01526	C00309	C00199	kegg
R01542	C00204	C04349	kegg
R01785	C06441	C00111	kegg
R01785	C06441	C00266	kegg
R02427	C02266	C00502	kegg
R02637	C00618	C04575	kegg
R02639	C00618	C04575	kegg
R02921	C00063	C00789	kegg
R02921	C01068	C00789	kegg
R04382	C06118	C04053	kegg
R04383	C04053	C04349	kegg
R07127	C00618	C14899	kegg
R07152	C00379	C00181	kegg
R09477	C00379	C00181	kegg
R11768	C00433	C00026	kegg
R00865	C00392	C00095	kegg
R00866	C00095	C01094	kegg
R00868	C00392	C00095	kegg
R00870	C00392	C00095	kegg
R00872	C03267	C00095	kegg
R00880	C00096	C00976	kegg
R00881	C00096	C00144	kegg
R00883	C00035	C00096	kegg
R00885	C00044	C00096	kegg
R00887	C00096	C00035	kegg
R00888	C00096	C01222	kegg
R00890	C00096	C00035	kegg
R01059	C00577	C00118	kegg
R01951	C00044	C00325	kegg
R01951	C02985	C00325	kegg
R02167	C00644	C00392	kegg
R02262	C01099	C00111	kegg
R02262	C01099	C00424	kegg
R02437	C00507	C00861	kegg
R02438	C00507	C02431	kegg
R02568	C01094	C00111	kegg
R02568	C01094	C00577	kegg
R02704	C00392	C00644	kegg
R02730	C00665	C03267	kegg
R03232	C00095	C01094	kegg
R03688	C01720	C03827	kegg
R03942	C02431	C02991	kegg
R04076	C00247	C02888	kegg
R05692	C00325	C01222	kegg
R05768	C00096	C00035	kegg
R05768	C00096	C11516	kegg
R05768	C00197	C00035	kegg
R05768	C00197	C11516	kegg
R05790	C11516	C11544	kegg
R08692	C00976	C00035	kegg
R09666	C00096	C00035	kegg
R09666	C00096	C11544	kegg
R09666	C00258	C00035	kegg
R09666	C00258	C11544	kegg
R10689	C18028	C01720	kegg
R10690	C03827	C20781	kegg
R10691	C20781	C00186	kegg
R10788	C00507	C02991	kegg
R10995	C00507	C02991	kegg
R00801	C00089	C00095	kegg
R00801	C00089	C00031	kegg
R01064	C01286	C00118	kegg
R01103	C00492	C00089	kegg
R01104	C05401	C00116	kegg
R01192	C00137	C01235	kegg
R01194	C01235	C00137	kegg
R02410	C00492	C00095	kegg
R02411	C01235	C00137	kegg
R02411	C01235	C00492	kegg
R02411	C00089	C00137	kegg
R02411	C00089	C00492	kegg
R03237	C00063	C00112	kegg
R03239	C00081	C00104	kegg
R03418	C01235	C00137	kegg
R03418	C01235	C01613	kegg
R03418	C00492	C00137	kegg
R03418	C00492	C01613	kegg
R03634	C01613	C00492	kegg
R03635	C01613	C00095	kegg
R00068	C00072	C05422	kegg
R00095	C00072	C01041	kegg
R00645	C00072	C01041	kegg
R00646	C00072	C01620	kegg
R00646	C00072	C00209	kegg
R00647	C00072	C03289	kegg
R01108	C05422	C00127	kegg
R01108	C05422	C00072	kegg
R01184	C00137	C00191	kegg
R01483	C02670	C00191	kegg
R01784	C00684	C00266	kegg
R02278	C00684	C00433	kegg
R02279	C00679	C00433	kegg
R02715	C00652	C06316	kegg
R02752	C00818	C00679	kegg
R02754	C00679	C01146	kegg
R02957	C02670	C00818	kegg
R03183	C01040	C02670	kegg
R03184	C01040	C03289	kegg
R03185	C01041	C05422	kegg
R03186	C01041	C05422	kegg
R03186	C01041	C00072	kegg
R03733	C01620	C03064	kegg
R04785	C05422	C04575	kegg
R07671	C00072	C16186	kegg
R07677	C16186	C14899	kegg
R07679	C00072	C05422	kegg
R08615	C00167	C00191	kegg
R09540	C00072	C01041	kegg
R10846	C20889	C20896	kegg
R10847	C20896	C00679	kegg
R00742	C00288	C00083	kegg
R01280	C00249	C00154	kegg
R12300	C00383	C00083	kegg
R01177	C00136	C05269	kegg
R01274	C00154	C00249	kegg
R01278	C00154	C05272	kegg
R03776	C01944	C05276	kegg
R03778	C01944	C05265	kegg
R03856	C01832	C03221	kegg
R03858	C01832	C05261	kegg
R03989	C02593	C05273	kegg
R03991	C02593	C05259	kegg
R04170	C05262	C03221	kegg
R04737	C05258	C05259	kegg
R04738	C05258	C05272	kegg
R04739	C05260	C05261	kegg
R04740	C05260	C05273	kegg
R04741	C05262	C05263	kegg
R04742	C05274	C05263	kegg
R04743	C05264	C05265	kegg
R04744	C05264	C05275	kegg
R04745	C05266	C05267	kegg
R04746	C05266	C05276	kegg
R04747	C05270	C05267	kegg
R04748	C05268	C05269	kegg
R04749	C05268	C05271	kegg
R04753	C05274	C05275	kegg
R06985	C05271	C05270	kegg
R00238	C00024	C00332	kegg
R01175	C00136	C00877	kegg
R01279	C00154	C05272	kegg
R01704	C00517	C00249	kegg
R01923	C00154	C02990	kegg
R01923	C00318	C02990	kegg
R01975	C01144	C00332	kegg
R02402	C00489	C00527	kegg
R02462	C00823	C00517	kegg
R02487	C00527	C00877	kegg
R03026	C01144	C00877	kegg
R03777	C01944	C05276	kegg
R03857	C01832	C03221	kegg
R03990	C02593	C05273	kegg
R04751	C05270	C05271	kegg
R04754	C05274	C05275	kegg
R04756	C05280	C05279	kegg
R09106	C00406	C18217	kegg
R09106	C18218	C18217	kegg
R09448	C18218	C19614	kegg
R09451	C00249	C18218	kegg
R09452	C00712	C19616	kegg
R09453	C19418	C19620	kegg
R09454	C08281	C19623	kegg
R09455	C19616	C19617	kegg
R09456	C19623	C19624	kegg
R09457	C19614	C19615	kegg
R09458	C19617	C19618	kegg
R09459	C19624	C19625	kegg
R09460	C18218	C08285	kegg
R09461	C19622	C19621	kegg
R09462	C00712	C19418	kegg
R09463	C19616	C19620	kegg
R09464	C19620	C19621	kegg
R09465	C19418	C19622	kegg
R00702	C00448	C03428	kegg
R01451	C00187	C01164	kegg
