id	name	type1	type2	smiles
C00003	mr2156	keggId	detected	N=C(O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1
C00009	wm0019	keggId	detected	O=P(O)(O)O
C00019	p0435	keggId	detected	C[S+](CCC(N)C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O
C00025	mr1331	keggId	detected	NC(CCC(=O)O)C(=O)O
C00029	n00354	keggId	detected	O=c1nc(O)ccn1C1OC(COP(=O)(O)OP(=O)(O)OC2OC(CO)C(O)C(O)C2O)C(O)C1O
C00031	Glucose	keggId	detected	OCC1OC(O)C(O)C(O)C1O
C00037	mr2001	keggId	detected	NCC(=O)O
C00041	mr1319	keggId	detected	CC(N)C(=O)O
C00047	mr1330	keggId	detected	NCCCCC(N)C(=O)O
C00049	mr1327	keggId	detected	NC(CC(=O)O)C(=O)O
C00065	mr1320	keggId	detected	NC(CO)C(=O)O
C00072	PS068208	keggId	detected	O=C1OC(C(O)CO)C(O)=C1O
C00073	mr1332	keggId	detected	CSCCC(N)C(=O)O
C00077	mr175	keggId	detected	NCCCC(N)C(=O)O
C00078	mr1346	keggId	detected	NC(Cc1c[nH]c2ccccc12)C(=O)O
C00079	mr1335	keggId	detected	NC(Cc1ccccc1)C(=O)O
C00082	mr1338	keggId	detected	NC(Cc1ccc(O)cc1)C(=O)O
C00089	Sucrose	keggId	detected	OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O
C00097	mr798	keggId	detected	NC(CS)C(=O)O
C00106	mr3088	keggId	detected	Oc1ccnc(O)n1
C00114	mr1186	keggId	detected	C[N+](C)(C)CCO
C00123	mr1325	keggId	detected	CC(C)CC(N)C(=O)O
C00127	mr2155	keggId	detected	NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O
C00135	mr1333	keggId	detected	NC(Cc1cnc[nH]1)C(=O)O
C00144	mr2126	keggId	detected	N=c1nc(O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1
C00147	mr1267	keggId	detected	Nc1nc[nH]c2ncnc1-2
C00148	mr1321	keggId	detected	O=C(O)C1CCCN1
C00149	mr2164	keggId	detected	O=C(O)CC(O)C(=O)O
C00152	mr1438	keggId	detected	N=C(O)CC(N)C(=O)O
C00170	S16-0068	keggId	detected	CSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
C00179	mr1449	keggId	detected	N=C(N)NCCCCN
C00180	mr864	keggId	detected	O=C(O)c1ccccc1
C00181	Xylose	keggId	detected	OC1COC(O)C(O)C1O
C00183	mr1322	keggId	detected	CC(C)C(N)C(=O)O
C00188	mr1323	keggId	detected	CC(O)C(N)C(=O)O
mr1462	mr1462	libraryId	detected	OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
Arabinose	Arabinose	libraryId	detected	OC1COC(O)C(O)C1O
C00242	mr804	keggId	detected	N=c1nc(O)c2nc[nH]c2[nH]1
mr216	mr216	libraryId	detected	OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
C00253	mr799	keggId	detected	O=C(O)c1cccnc1
C00255	mr1126	keggId	detected	Cc1cc2nc3c(O)nc(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C
C00257	mr2187	keggId	detected	O=C(O)C(O)C(O)C(O)C(O)CO
C00270	mr781	keggId	detected	CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO
C00296	mr1160	keggId	detected	O=C(O)C1(O)CC(O)C(O)C(O)C1
C00314	mr1158	keggId	detected	Cc1ncc(CO)c(CO)c1O
C00315	p0338	keggId	detected	NCCCCNCCCN
C00318	mr183	keggId	detected	C[N+](C)(C)CC(O)CC(=O)[O-]
C00328	mr677	keggId	detected	Nc1ccccc1C(=O)CC(N)C(=O)O
C00329	mr805	keggId	detected	NC1C(O)OC(CO)C(O)C1O
C00371	tZ	keggId	detected	CC(=CCNc1nc[nH]c2ncnc1-2)CO
C00378	mr1192	keggId	detected	Cc1ncc(C[n+]2csc(CCO)c2C)c(=N)[nH]1
C00385	mr649	keggId	detected	Oc1nc(O)c2nc[nH]c2n1
C00388	p0116	keggId	detected	NCCc1cnc[nH]1
C00392	mr2179	keggId	detected	OCC(O)C(O)C(O)C(O)CO
C00398	mr1425	keggId	detected	NCCc1c[nH]c2ccccc12
C00407	mr1326	keggId	detected	CCC(C)C(N)C(=O)O
C00408	mr490	keggId	detected	O=C(O)C1CCCCN1
C00449	mr208	keggId	detected	NC(CCCCNC(CCC(=O)O)C(=O)O)C(=O)O
C00463	mr3093	keggId	detected	c1ccc2[nH]ccc2c1
C00482	mr1050	keggId	detected	COc1cc(C=CC(=O)O)cc(OC)c1O
C00483	mr1446	keggId	detected	NCCc1ccc(O)cc1
C00492	S15-0195	keggId	detected	OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O
C00507	mr4019	keggId	detected	CC1OC(O)C(O)C(O)C1O
mr200	mr200	libraryId	detected	NC(CCSCC(N)C(=O)O)C(=O)O
C00559	mr204	keggId	detected	Nc1ncnc2c1ncn2C1CC(O)C(CO)O1
C00588	mr807	keggId	detected	C[N+](C)(C)CCOP(=O)([O-])O
C00624	p0137	keggId	detected	CC(=O)NC(CCC(=O)O)C(=O)O
C00633	mr2161	keggId	detected	O=Cc1ccc(O)cc1
C00643	mr2070	keggId	detected	NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
C00666	mr1454	keggId	detected	NC(CCCC(N)C(=O)O)C(=O)O
C00669	p0344	keggId	detected	NC(CCC(=O)NC(CS)C(=O)O)C(=O)O
C00670	mr1364	keggId	detected	C[N+](C)(C)CCOP(=O)([O-])OCC(O)CO
C00719	mr169	keggId	detected	C[N+](C)(C)CC(=O)[O-]
C00750	mr817	keggId	detected	NCCCNCCCCNCCCN
C00755	mr1511	keggId	detected	COc1cc(C=O)ccc1O
C00761	mr2245	keggId	detected	COc1cc(C=CCO)ccc1OC1OC(CO)C(O)C(O)C1O
C00774	mr739	keggId	detected	O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O
C00780	mr1047	keggId	detected	NCCc1c[nH]c2ccc(O)cc12
C00805	SA	keggId	detected	O=C(O)c1ccccc1O
C00811	p0078	keggId	detected	O=C(O)C=Cc1ccc(O)cc1
C00818	n05682	keggId	detected	O=C(O)C(O)C(O)C(O)C(O)C(=O)O
C00852	mr1161	keggId	detected	O=C(C=Cc1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(O)C1O
C00859	GA1	keggId	detected	C=C1CC23CC1(O)CCC2C12CCC(O)C(C)(C(=O)O1)C2C3C(=O)O
C00860	mr493	keggId	detected	NC(CO)Cc1cnc[nH]1
C00933	mr699	keggId	detected	COc1cc(C=CC(=O)OCC[N+](C)(C)C)cc(OC)c1[O-]
C00954	IAA	keggId	detected	O=C(O)Cc1c[nH]c2ccccc12
C00955	p0023	keggId	detected	OCCc1c[nH]c2ccccc12
C00956	mr186	keggId	detected	NC(CCCC(=O)O)C(=O)O
R10-0777	R10-0777	libraryId	detected	CCCCCC(O)C=CC1=C(CCCCCCC(=O)O)C(=O)CC1
C00974	p0491	keggId	detected	O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O
C00978	ace-ser	keggId	detected	CC(=O)NCCc1c[nH]c2ccc(O)cc12
C01004	mr1188	keggId	detected	C[n+]1cccc(C(=O)[O-])c1
Fucose	Fucose	libraryId	detected	CC1OC(O)C(O)C(O)C1O
C01035	mr254	keggId	detected	N=C(N)NCCCC(=O)O
C01083	mr2243	keggId	detected	OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O
C01152	mr772	keggId	detected	Cn1cncc1CC(N)C(=O)O
C01175	mr1272	keggId	detected	COc1cc(C=CC(=O)OC2OC(CO)C(O)C(O)C2O)cc(OC)c1O
C01197	mr808	keggId	detected	O=C(O)C=Cc1ccc(O)c(O)c1
C01367	mr709	keggId	detected	Nc1ncnc2c1ncn2C1OC(CO)C(OP(=O)(O)O)C1O
C01378	p0488	keggId	detected	O=C1c2ccc(O)cc2OC(c2ccc(O)c(O)c2)C1O
